artist,id
Farmacos,1FJENlxciHSXzfHlYMgB2M
Ases Falsos,5duXcUlwdTvVHJTLWJa2j1
Rosario Alfonso,7mirwC8eaTt7tswix93TFZ
Pascuala Ilabaca y Fauna,6nf17XGXCx2PSgkhPYjSIA
Laura Murcia,6d19qaYWDQRN687o4TRK3K
Mora Lucay,3gjqD5j7NaOCr4kLULEV0L
Planetario,4KyZLSFxk5EZnqkceVEvga
Super Especial,7EiWbSp3dVXfPJMfIFnbJ1
Violeta Parra,4ejp2yEDQIIJIy0iFpoI5B
Julio Pina,1y9QVaLM27gpDD1nOjblxc
Los Kuervos Del Sur,6BYwseleN4FiZvX4dFirBj
Julius Popper,4ZWex7Cr0HbNkpnTZPCcfO
Diego Lorenzini,58ogXGbkmpbFtAbePMPiQ4
Entrama,40zvihD4tuYlUBHjtt1dgK
Nano Stern,6WcoLUYMQyttg3fFIkou6X
Tunacola,0E0FX8RYDfwseJAhwO9AK2
Benjamin Walker,4uqz8sHfvYPHlpHZYyanEK
En Invierno,3MNvKeLzGSvOPtXJAjCOzf
Pedropiedra,0WCbmGMzwvFFx0JT8k7THP
Tus Amigos Nuevos,4dqL8obu05HTocAZNPJvfc
Chancho En Piedra,2Uf3IlEDdwkKNfs10ByddI
Fiskales Ad-Hok,60bfQT8dq9ykKW6KfIXnE5
Tata Barahona,4rzDfi2jOKIBcdvByO4V0n
Guerra Silenta,45O2HP8FBgqK0tHiZoFoJb
Los Bunkers,3RTAXX6KGdljBsOIupyZgT
Los Prisioneros,2mSHY8JOR0nRi3mtHqVa04
Los Ex,4sWPy7Kj9RwdpAxe5onUhP
Fother Muckers,6FFSTXo40QrNA2tpT1xbq0
Los Mil Jinetes,5H8rz8dQLNWvaHojkHyQMn
Cristobal Briceno,0TE3FlkFJ5OgdyulXv99iX
Las Chaquetas Amarillas,5rTDP6ApLyeiozXOfmKYQa
Alejandro Silva,5Vekk6v7ROEV5LzBp1ckgX
Mapocho Orquesta,5zoXAWbqiovx7MFrNvuteu
La Brigida Orquesta,4XbPmAuePPr3JhIoN6WNGP
Christian Galvez,0K0pTv2a2pbNPRt7XOUnG9
Inti Illimani,4cCVNFShP38zaKGuo8QSMN
Quilapayun,76sZcEL2ZXBTqNeFJAhlup
Los Miserables,7EP6QHjz7FSJZBVjDuAmas
Villa Carino,3BBhJ4tssZm6vSQQ5xPDC1
La Combo Tortuga,1wyjMJTy6WbOvYBSDL9fMR
Guachupe,1IbUoO6fomi5BxFk5X6n1K
Paisano,121UaZBofpgTXFSEZojXh3
Angelo Escobar,39P3QZJBB66v5hWVpXE4G7
Mon Laferte,4boI7bJtmB1L3b1cuL75Zr
Locos de Patio,4ytnGcXxv0YmTANn8tZK3i
Macha Y El Bloque Depresivo,1pdmhuBAqiOFaFuXRvLoyy
Chico Trujillo,6Hs8U0JO2nacXFG4kp15Co
La Noche,74RYbbIHke18VFvcsP2iD9
La Ley,1ZVoRDO29AlDXiMkRLMZSK
Americo,6eUAVH8tSq8WSJGPLeDN9c
Grupo Alegria,5j0zxJF926wIDiCXMmJGkg
Los Jaivas,750f5Yoi20mYBe2EoVqWiT
Sinergia,1OgaghfYd1qr8DFoNrfDNk
31 Minutos,1EgVsKobLzbNgILxx9wrVG
Fulano,2LZMzG3MBHagZYIJa31mmH
Aparato Raro,4aOE1rge6wMSa04xlFxc3Q
Los Vidrios Quebrados,7raAVoOgou1pDqXMnFHFgr
Los Blops,2CQ6aPvUy5vJyYBWGfx5o9
Manuel Garcia,4LIR7XQRqn0CyXMYSjKoTX
Upa!,3SQwqIl6r35rkAXPw7cm9n
Glup!,6BrWnoM0y0Viv3DVEcT8GE
Tronic,5HkHDnrE6HW1FsD5gf8nrw
Gufi,2x6OBrjZlSnyftY3Da2mmN
Supernova,4hp1i0d15TWg1YN3lCUWgq
Victor Jara,440MEFxEmF9othCXbz3Y6a
Congreso,0S7gyQcve5aVdbPiUjym4H
Mediabanda,6KLb7syCkJuQh6SpqNSnPK
Joe Vasconcellos,4sGC7K2rSpWrWudBgYPMce
Los Peores de Chile,0yrF0XtNWe4oZ7JXSCCmA7
Supersordo,3MFZYNx9q6hxzlVK4T51cL
Patio Solar,5vA7SVYlKJGW6NGkKaSEax
Amarga Marga,77VyMx81VAf8vpqcMr73sH
Ninos del Cerro,1RpIuXeUsxfYBdQIg19QSy
Nino Cohete,00kBFCMv8iB3aMpHy043LO
Astro,0V2YTCyeeSs4sivZL99x3g
Tumulto,5okgpG6HdbMl6e7s6CSdd3
La Patogallina,2o6XX8RNjEbSZW4fq1vDEm
Criminal,2obZTQu3NO5oRcIZKY9fOh
Illapu,6gWVXK2R7WYXTqxULGAyfx
Yajaira,30XqLBME9I6YRl6ugWcCUg
Teleradio Donoso,6SwRy6PTx8ehNGCdcDp3mt
Camila Moreno,0SJy1J0FgP21lbvGBMKT8H
Javiera & Los Imposibles,6IEAyaXCPxZoPtCAYZXOxz
Alex Anwandter,0M8uC0u1YRUGCieOKmQF02
Fernando Milagros,73swvRHLV2DJfD57xx5CBN
Gepe,1fHGzTSloWCtrlKfbLNVhM
Saiko,6YgPVbrxWFP9dnp8dsqDry
Lucybell,3rqpBcetrJVphNTRHDv9ht
De Saloon,04Z3mRXKnp5PmZcJ8QCULt
Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt
Javiera Parra,1mBmpJSQUdUOTJzbfEg5m8
La Rue Morgue,26ZwTqwf87K05pQDOg3Tc3
Difuntos Correa,2Ii5TVgcXETw3tFhpqJ6HH
Silvestre,3qWvnBe0WHixQgMLpMsf0T
Javiera Mena,6c0qylj1D1gqcUUN2P8Ofp
La Transa,6EF1264lzOeAYoRT6kFNL2
Banda Conmocion,2UNMW1OKE0X1cwJHWER67g
La Floripondio,73Vk4dL8kYkbRJxWJDq1wL
Weichafe,1V9tvIpFfMl1cFJjxJKAre
Sol Y Lluvia,6iGoMyoSIjyTxbCRyHREtI
Patricio Manns,0qX7rdOqbH8vUUeXUUsiqf
Santiago del Nuevo Extremo,2WVBKsWLyEcWY1z5SxIDry
Eduardo Gatti,4XeXlVlcBAqU4tYCP3SdoY
Fernando Ubiergo,4o3U8RAOoLpRDFvqKoJYvA
Sexual Democracia,3m2dBZiLPZUffYga9ocES7
Begona Ortuzar,7e3ei0JrBXl8DqQ9jR7hqS
Tormenta,7BCS0NMerhhiHd8F4ELZq6
Gondwana,4nSgEvZncnC5oNPVrtwnLd
Mosto,0wf94EKS13LzR7IoSek6ER
Los Tres,4qXIYIWo6wRsN0lZxvgH6S
Catalina Navarro,6xch6zph3Lgfj4EeEMwjeu
Amanitas,5Rer4pgrnkfYkuHcXaayqR
(Me llamo) Sebastian,5PoJhiT21fXvZitg3guhiJ
Seba Alfaro,4BsdSj5TfV0HQiUwdRBQbk
Paz Court,5Rer4pgrnkfYkuHcXaayqR
Dulce y Agraz,5cD6bctPV8wtKpO4o8ZtTQ
Martina Lluvias,5x24CqyDaYbM6OUjxLYkUo
Nina Tormenta,0KJEHAoNtPaopqOHD6UIkY
Proyectosolo,1FSq5ATUMKNRLCxwWwpELa
Nino Cohete,00kBFCMv8iB3aMpHy043LO
Martin Berrios,3EQz0AUS2CMV6lOu3Zplm2
Nicole Bunout,5jyOjqLd2YRArrVlguvv4F
Arranquemos del Invierno,6TohVx7C5O24NqelCsIdfs
Yorka,71bG6LIwKMYALxV8WuIezn
Demian Rodriguez,5rJG5I7ZC5C51fXEyV5E6V
Charly Benavente,38RtVKKRJwYGkKJDuZtHJP
Camilo Eque,1NBoDdFZArcr9I68YHFA5T
Javiera Barreau,6LRPIVdyITYNvP8TDK8kS6
Vero Soffia,3CYRq2jA4EHkNmPssIpUPx
Kalfu,1WpF9eHbFZ1v8e5BwFHFun
Briselas,0BVJcThdev7EYuMwkZtqXg
Octopus,2BYiFVKTqUv1mDxwGLRAVp
All Tomorrows,02zfNolwCUPprPV1hZR7Qo
Entomos,4TRb26crZjAkKUQeafr1e1
Koke Benavides,7vNDqKCgE6DGmVox1HP8Sg
Nunca Seremos Dichosos,0XLQ3xZLk6ptsTLMHDKgTR
Lechuga,2SDcND6iKTDeQtHYV7OmoB
Claudio Cordero,72pa1Eyk6o1dzU077kYLBJ
Coprofago,3AHOLYbQ4tukuXglzAulxu
Austral,1rbRlqPPuN1TnMKQn84W5K
Humana,4wo4fMjzzI5Xm36Bg8eaeB
Target,6QJtShEe3N2TDh8PyTfFgo
Horeja,4VHM8CUeZH4zr22qQC0Z0a
Crisalida,4R98n83F98vnLTE2VPSK2y
Hat-Trick,2egjiYihbOJB329kusNfWa
Como Asesinar a Felipes,17WostYl0Ep0nyJmA0m2ds
Recruicide,4u0TUUkjoiF0pvHt0wlq7q
Drogatones,5WM44byDlCThNqIKalytBo
Chances,4omb8fFT9JPsUKPx6XVqCX
Libra CL,2YMeDKKo2lRhDfs1AAphax
Rosewell,6RXFGqlctn7nIpqiRH5REt
